gender,race_group,parent_education,lunch,test_prep,math_score,reading_score,writing_score
Female,B,bachelor's degree,standard,no,72,72,74
Female,C,some college,standard,yes,69,90,88
Female,B,master's degree,standard,no,90,95,93
Male,A,associate's degree,free/reduced,no,47,57,44
Male,C,some college,standard,no,76,78,75
Female,B,associate's degree,standard,no,71,83,78
Female,B,some college,standard,yes,88,95,92
Male,B,some college,free/reduced,no,40,43,39
Male,D,high school,free/reduced,yes,64,64,67
Female,B,high school,free/reduced,no,38,60,50
Male,C,associate's degree,standard,no,58,54,52
Male,D,associate's degree,standard,no,40,52,43
Female,B,high school,standard,no,65,81,73
Male,A,some college,standard,yes,78,72,70
Female,A,master's degree,standard,no,50,53,58
Female,C,some high school,standard,no,69,75,78
Male,C,high school,standard,no,88,89,86
Female,B,some high school,free/reduced,no,18,32,28
Male,C,master's degree,free/reduced,yes,46,42,46
Female,C,associate's degree,free/reduced,no,54,58,61
Male,D,high school,standard,no,66,69,63
Female,B,some college,free/reduced,yes,65,75,70
Male,D,some college,standard,no,44,54,53
Female,C,some high school,standard,no,69,73,73
Male,D,bachelor's degree,free/reduced,yes,74,71,80
Male,A,master's degree,free/reduced,no,73,74,72
Male,B,some college,standard,no,69,54,55
Female,C,bachelor's degree,standard,no,67,69,75
Male,C,high school,standard,no,70,70,65
Female,D,master's degree,standard,no,62,70,75
Female,D,some college,standard,no,69,74,74
Female,B,some college,standard,no,63,65,61
Female,E,master's degree,free/reduced,no,56,72,65
Male,D,some college,standard,no,40,42,38
Male,E,some college,standard,no,97,87,82
Male,E,associate's degree,standard,yes,81,81,79
Female,D,associate's degree,standard,no,74,81,83
Female,D,some high school,free/reduced,no,50,64,59
Female,D,associate's degree,free/reduced,yes,75,90,88
Male,B,associate's degree,free/reduced,no,57,56,57
Male,C,associate's degree,free/reduced,no,55,61,54
Female,C,associate's degree,standard,no,58,73,68
Female,B,associate's degree,standard,no,53,58,65
Male,B,some college,free/reduced,yes,59,65,66
Female,E,associate's degree,free/reduced,no,50,56,54
Male,B,associate's degree,standard,no,65,54,57
Female,A,associate's degree,standard,yes,55,65,62
Female,C,high school,standard,no,66,71,76
Female,D,associate's degree,free/reduced,yes,57,74,76
Male,C,high school,standard,yes,82,84,82
Male,E,some college,standard,no,53,55,48
Male,E,associate's degree,free/reduced,yes,77,69,68
Male,C,some college,standard,no,53,44,42
Male,D,high school,standard,no,88,78,75
Female,C,some high school,free/reduced,yes,71,84,87
Female,C,high school,free/reduced,no,33,41,43
Female,E,associate's degree,standard,yes,82,85,86
Male,D,associate's degree,standard,no,52,55,49
Male,D,some college,standard,yes,58,59,58
Female,C,some high school,free/reduced,no,0,17,10
Male,E,bachelor's degree,free/reduced,yes,79,74,72
Male,A,some high school,free/reduced,no,39,39,34
Male,A,associate's degree,free/reduced,no,62,61,55
Female,C,associate's degree,standard,no,69,80,71
Female,D,some high school,standard,no,59,58,59
Male,B,some high school,standard,no,67,64,61
Male,D,some high school,free/reduced,no,45,37,37
Female,C,some college,standard,no,60,72,74
Male,B,associate's degree,free/reduced,no,61,58,56
Female,C,associate's degree,standard,no,39,64,57
Female,D,some college,free/reduced,yes,58,63,73
Male,D,some college,standard,yes,63,55,63
Female,A,associate's degree,free/reduced,no,41,51,48
Male,C,some high school,free/reduced,no,61,57,56
Male,C,some high school,standard,no,49,49,41
Male,B,associate's degree,free/reduced,no,44,41,38
Male,E,some high school,standard,no,30,26,22
Male,A,bachelor's degree,standard,yes,80,78,81
Female,D,some high school,standard,yes,61,74,72
Female,E,master's degree,standard,no,62,68,68
Female,B,associate's degree,standard,no,47,49,50
Male,B,high school,free/reduced,no,49,45,45
Male,A,some college,free/reduced,yes,50,47,54
Male,E,associate's degree,standard,no,72,64,63
Male,D,high school,free/reduced,no,42,39,34
Female,C,some college,standard,no,73,80,82
Female,C,some college,free/reduced,no,76,83,88
Female,D,associate's degree,standard,no,71,71,74
Female,A,some college,standard,no,58,70,67
Female,D,some high school,standard,no,73,86,82
Female,C,bachelor's degree,standard,no,65,72,74
Male,C,high school,free/reduced,no,27,34,36
Male,C,high school,standard,no,71,79,71
Male,C,associate's degree,free/reduced,yes,43,45,50
Female,B,some college,standard,no,79,86,92
Male,C,associate's degree,free/reduced,yes,78,81,82
Male,B,some high school,standard,yes,65,66,62
Female,E,some college,standard,yes,63,72,70
Female,D,some college,free/reduced,no,58,67,62
Female,D,bachelor's degree,standard,no,65,67,62
Male,B,some college,standard,no,79,67,67
Male,D,bachelor's degree,standard,yes,68,74,74
Female,D,associate's degree,standard,no,85,91,89
Male,B,high school,standard,yes,60,44,47
Male,C,some college,standard,yes,98,86,90
Female,C,some college,standard,no,58,67,72
Female,D,master's degree,standard,no,87,100,100
Male,E,associate's degree,standard,yes,66,63,64
Female,B,associate's degree,free/reduced,no,52,76,70
Female,B,some high school,standard,no,70,64,72
Female,D,associate's degree,free/reduced,yes,77,89,98
Male,C,high school,standard,no,62,55,49
Male,A,associate's degree,standard,no,54,53,47
Female,D,some college,standard,no,51,58,54
Female,E,bachelor's degree,standard,yes,99,100,100
Male,C,high school,standard,no,84,77,74
Female,B,bachelor's degree,free/reduced,no,75,85,82
